name,district,locationCode,primaryAddressLine,stateCode,zip,accessibilityCode,accessibilityDescription,profile,website,boroughNumber,boroughName,phoneNumber,size,grades,campus,distance,networkCode,networkLead,networkLeadPhone,networkLeadEmail,rank,displayName,point/objectId1,point/objectId,point/x,point/y,point/schoolName,point/boroughNumber,point/locationCode,point/district,point/zip,point/neighborhood,point/shape,dUSInformation/locationCode,dUSInformation/schoolName,dUSInformation/borough,dUSInformation/highSchool/schoolDirectoryYear,dUSInformation/highSchool/stage,dUSInformation/highSchool/email,dUSInformation/highSchool/indepedentWebsite,dUSInformation/highSchool/schoolType,dUSInformation/highSchool/accessibility,dUSInformation/highSchool/eLLProgramsESL,dUSInformation/highSchool/interestAreas,dUSInformation/highSchool/selectionMethods,dUSInformation/middleSchool/schoolDirectoryYear,childhoodCenter/objectId,childhoodCenter/locationCode,childhoodCenter/borough,childhoodCenter/district,childhoodCenter/name,childhoodCenter/phone,childhoodCenter/address,childhoodCenter/zip,childhoodCenter/dayLength,childhoodCenter/sPCoordX,childhoodCenter/sPCoordY,childhoodCenter/pjAreaName,childhoodCenter/boroCode,childhoodCenter/bin,childhoodCenter/bbl,childhoodCenter/seats,childhoodCenter/email,childhoodCenter/prekType,isChildhoodCenter,dayLength,managedBy,seats,prekType,childhoodCenter/dchDcId,childhoodCenter/contract,childhoodCenter/webSite,childhoodCenter/taxId,childhoodCenter/pepApproved,optCode
A to Z Day Care Center,22,KCJR,3053 Avenue U,NY,11229,,,,a2zdaycare.com,3,Brooklyn,(718) 368-1234,0,PK,,0,,,,,100,A to Z Day Care Center (KCJR),0,785,-8230613.9455,4953686.4032,A to Z Day Care Center,3,KCJR,22,11229,Madison,785,,,,,,,,,,,,,,980,KCJR,K,22,A to Z Day Care Center,(718) 368-1234,3053 Avenue U,11229,1,1001782,158293,Madison,3,3199284,3073400046,29,jaynelipkovich@gmail.com,NYCEEC,true,1,99,29,NYCEEC,DC17883,,a2zdaycare.com,261777576,1,
A to Z Learning Center,28,QAWA,123-21 Jamaica Avenue,NY,11418,,,,,4,Queens,(718) 805-4400,0,PK,,0,,,,,100,A to Z Learning Center (QAWA),0,88,-8218347.9129,4968326.4531,A to Z Learning Center,4,QAWA,28,11418,Richmond Hill,88,,,,,,,,,,,,,,97,QAWA,Q,28,A to Z Learning Center,(718) 805-4400,123-21 Jamaica Avenue,11418,3,1032308,194686,Richmond Hill,4,4193812,4092770081,87,atozcenter@yahoo.com,NYCEEC,true,3,99,87,NYCEEC,DC1116,R0882,,113483394,1,
A. Fantis Parochial School,15,KBMX,195 State Street,NY,11201,,,,,3,Brooklyn,(718) 624-0501,0,PK,,0.549190333785621,,,,,100,A. Fantis Parochial School (KBMX),1087,1087,-8236681.0814,4966765.7083,A. Fantis Parochial School,3,KBMX,15,11201,Brooklyn Heights - Cobble Hill,1087,,,,,,,,,,,,,,801,KBMX,K,15,A. Fantis Parochial School,(718) 624-0501,195 State Street,11201,1,986644,190766,Brooklyn Heights - Cobble Hill,3,3329468,3002710032,36,upkdirector@afantis.org,NYCEEC,true,1,99,36,NYCEEC,,,,,,
A. Philip Randolph Campus High School,06,M540,443 WEST 135 STREET,NY,10031,,,http://schools.nyc.gov/SchoolPortals/06/M540/default.htm,,1,Manhattan,212-690-6800,1369,"09,10,11,12,SE",,0,N201,"Zaza, Joseph",718-281-7520,JZaza@schools.nyc.gov,100,A. Philip Randolph Campus High School (M540),0,1832,-8232092.6701,4985585.8162,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1,M540,6,10031,Manhattanville,1832,M540,A. Philip Randolph Campus High School,Manhattan,7626,Published,dfannin@schools.nyc.gov,www.aprandolph.com,,Functionally Accessible,,Engineering|Health Professions|Humanities &amp; Interdisciplinary,Ed. Opt.|Screened|Screened: Language,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,06577
A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,24,Q290,55-20 METROPOLITAN AVENUE,NY,11385,,,http://schools.nyc.gov/SchoolPortals/24/Q290/default.htm,,4,Queens,718-571-6900,540,"PK,0K,01,02,03,04,05,SE",,0,N606,"Palazzo, Petrina",718-794-4907,PPalazz@schools.nyc.gov,100,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus (Q290),0,2675,-8227456.2007,4970061.5888,P.S. 290,4,Q290,24,11385,Ridgewood,2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,24290
"A2Z Kidz Center, LLC",22,KCKZ,190 Exeter Street,NY,11235,,,,a2zdaycare.com,3,Brooklyn,(718) 483-9999,0,PK,,0,,,,,100,"A2Z Kidz Center, LLC (KCKZ)",0,1015,-8231919.3848,4950246.7046,"A2Z Kidz Center, LLC",3,KCKZ,22,11235,Sheepshd By -Gerritsen Bch -Manhattn Bch,1015,,,,,,,,,,,,,,1179,KCKZ,K,22,"A2Z Kidz Center, LLC",(718) 483-9999,190 Exeter Street,11235,1,998531,149742,Sheepshd By -Gerritsen Bch -Manhattn Bch,3,3246120,3087360026,40,jaynelipkovich@gmail.com,NYCEEC,true,1,99,40,NYCEEC,,,a2zdaycare.com,,,
ABC / Echo Park ECDC,5,MAWM,1841 Park Avenue,NY,10035,,,,a-b-c.org,1,Manhattan,(646) 459-6032,0,PK,,0,,,,,100,ABC / Echo Park ECDC (MAWM),0,827,-8230755.039,4983728.8779,ABC / Echo Park ECDC,1,MAWM,5,10035,East Harlem North,827,,,,,,,,,,,,,,1026,MAWM,M,5,ABC / Echo Park ECDC,(646) 459-6032,1841 Park Avenue,10035,2,1001378,232832,East Harlem North,1,1054495,1017750001,92,mrooney@a-b-c.org,NYCEEC,true,2,99,92,NYCEEC,DC1135,,a-b-c.org,133303089,1,
ABC Early Learning Center,26,QBEO,54-25 Little Neck Pkwy.,NY,11362,,,,,4,Queens,(718) 225-8044,0,PK,,0,,,,,100,ABC Early Learning Center (QBEO),0,89,-8207059.5826,4978009.4089,ABC Early Learning Center,4,QBEO,26,11362,Douglas Mnr- Douglaston - Little Neck,89,,,,,,,,,,,,,,98,QBEO,Q,26,ABC Early Learning Center,(718) 225-8044,54-25 Little Neck Pkwy.,11362,1,1060350,218772,Douglas Mnr- Douglaston - Little Neck,4,4171722,4082740146,64,zepurv@aol.com,NYCEEC,true,1,99,64,NYCEEC,DC3111,R0882,,710958073,1,
ABC Kiddieland Day Care Center,30,QBLD,67-05 Roosevelt Avenue,NY,11377,,,,,4,Queens,(718) 651-3551,0,PK,,0,,,,,100,ABC Kiddieland Day Care Center (QBLD),0,936,-8226270.6662,4974999.6629,ABC Kiddieland Day Care Center,4,QBLD,30,11377,Woodside,936,,,,,,,,,,,,,,984,QBLD,Q,30,ABC Kiddieland Day Care Center,(718) 651-3551,67-05 Roosevelt Avenue,11377,1,1012555,211207,Woodside,4,4028083,4012230020,20,abckiddieland@verizon.net,NYCEEC,true,1,99,20,NYCEEC,,,,,,
"ABC Kiddieland, Inc.",30,QBBL,6521A Roosevelt Avenue,NY,11377,,,,,4,Queens,(718) 651-3551,0,PK,,0,,,,,100,"ABC Kiddieland, Inc. (QBBL)",0,621,-8226320.3362,4974995.0921,"ABC Kiddieland, Inc.",4,QBBL,30,11377,Woodside,621,,,,,,,,,,,,,,776,QBBL,Q,30,"ABC Kiddieland, Inc.",(718) 651-3551,6521A Roosevelt Avenue,11377,1,1012431,211196,Woodside,4,4028089,4012230026,20,abckiddieland@verizon.net,NYCEEC,true,1,99,20,NYCEEC,DC10481,R0819,,200719426,1,
ABC Plus,21,KCMV,1018 Banner Avenue #2,NY,11235,,,,abcplusdaycare.com,3,Brooklyn,(347) 702-6868,0,PK,,0,,,,,100,ABC Plus (KCMV),0,977,-8233115.9307,4951086.6684,ABC Plus,3,KCMV,21,11235,Sheepshd By -Gerritsen Bch -Manhattn Bch,977,,,,,,,,,,,,,,1151,KCMV,K,21,ABC Plus,(347) 702-6868,1018 Banner Avenue #2,11235,1,995544,151828,Sheepshd By -Gerritsen Bch -Manhattn Bch,3,3247959,3088090031,12,vbobvb144@msn.com,NYCEEC,true,1,99,12,NYCEEC,,,abcplusdaycare.com,,,
"ABC Preschool & Kindergarten Center, Corp",24,QAST,66-20 Laurel Hill Boulevard,NY,11377,,,,abcpreschoolny.com,4,Queens,(718) 672-2424,0,PK,,0,,,,,100,"ABC Preschool & Kindergarten Center, Corp (QAST)",0,744,-8226293.427,4974001.0509,"ABC Preschool & Kindergarten Center, Corp",4,QAST,24,11377,Elmhurst - Maspeth,744,,,,,,,,,,,,,,940,QAST,Q,24,"ABC Preschool & Kindergarten Center, Corp",(718) 672-2424,66-20 Laurel Hill Boulevard,11377,1,1012501,208731,Elmhurst - Maspeth,4,4056053,4024190034,80,abc_preschool@yahoo.com,NYCEEC,true,1,99,80,NYCEEC,DC1155,,abcpreschoolny.com,371468245,1,
Abraham Lincoln High School,21,K410,2800 OCEAN PARKWAY,NY,11235,,,http://schools.nyc.gov/SchoolPortals/21/K410/default.htm,,3,Brooklyn,718-333-7400,2078,"09,10,11,12,SE",,0.798887457489625,N112,"Pelles, Kathy",718-923-5102,KRehfield@schools.nyc.gov,100,Abraham Lincoln High School (K410),1451,1451,-8234094.6371,4950866.7659,ABRAHAM LINCOLN HIGH SCHOOL,3,K410,21,11235,West Brighton,1451,K410,Abraham Lincoln High School,Brooklyn,7671,Published,21K410@schools.nyc.gov,www.AbrahamLincolnHS.net,,Functionally Accessible,,Animal Science|Business|Humanities &amp; Interdisciplinary|Science &amp; Math|Visual Art &amp; Design|Zoned,Audition|Ed. Opt.|Screened|Zoned Guarantee,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,21501
Abyssinian Development Corporation 3,5,MBAJ,25 West 132nd Street,NY,10037,,,,adcorp.org,1,Manhattan,(212) 690-2869,0,PK,,0,,,,,100,Abyssinian Development Corporation 3 (MBAJ),0,90,-8230931.7536,4984568.0255,Abyssinian Development Corporation 3,1,MBAJ,5,10037,Central Harlem North - Polo Grounds,90,,,,,,,,,,,,,,99,MBAJ,M,5,Abyssinian Development Corporation 3,(212) 690-2869,25 West 132nd Street,10037,1,1000937,234910,Central Harlem North - Polo Grounds,1,1053888,1017300025,20,jmason@adcorp.org,NYCEEC,true,1,99,20,NYCEEC,DC18804,ACS,adcorp.org,133552154,1,
Academic Leadership Charter School,07,X491,677 EAST 141 STREET,NY,10454,,,http://schools.nyc.gov/SchoolPortals/07/X491/default.htm,,2,Bronx,718-585-4215,0,"PK,0K,01,02,03,04,05,06,07",,0,,,,,100,Academic Leadership Charter School (X491),0,2710,-8227954.0321,4984015.3311,Academic Leadership Charter School,2,X491,7,10454,Mott Haven - Port Morris,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,2,54,CHARTER,,,,,,07003
Academy for Careers in Television and Film,30,Q301,1-50 51ST AVENUE,NY,11101,,,http://schools.nyc.gov/SchoolPortals/30/Q301/default.htm,,4,Queens,718-609-3330,540,"09,10,11,12,SE",,0,N561,"JONES, DEREK",646-486-8177,DJones19@schools.nyc.gov,100,Academy for Careers in Television and Film (Q301),0,2105,-8233070.0784,4974475.1335,ACADEMY FOR CAREERS IN TELEVISION AND FILM,4,Q301,30,11106,Hunters Pt - Sunnyside - W Maspeth,2105,Q301,Academy for Careers in Television and Film,Queens,7877,Published,info@actvf.org,www.actvf.org,CTE School,Functionally Accessible,,Film/Video,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,30511
Academy for College Preparation and Career Exploration: A College Board School,17,K382,911 FLATBUSH AVENUE,NY,11226,,,http://schools.nyc.gov/SchoolPortals/17/K382/default.htm,,3,Brooklyn,718-564-2566,429,"06,07,08,09,10,11,12,SE",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Academy for College Preparation and Career Exploration: A College Board School (K382),0,1435,-8232980.9891,4960747.0366,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION,3,K382,17,11226,Erasmus,1435,K382,Academy for College Preparation and Career Exploration: A College Board School,Brooklyn,7823,Published,DKorbeogo@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/17/K382/default.htm,,Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7118,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,17382
Academy for Conservation and the Environment,18,K637,6565 FLATLANDS AVENUE,NY,11236,,,http://schools.nyc.gov/SchoolPortals/18/K637/default.htm,,3,Brooklyn,718-968-4101,300,"09,10,11,12,SE",,0,N404,"BIBBS, MALIKA",718-329-8107,MElwin@schools.nyc.gov,100,Academy for Conservation and the Environment (K637),0,1567,-8228477.476,4958462.3605,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,3,K637,18,11236,Canarsie,1567,K637,Academy for Conservation and the Environment,Brooklyn,7868,Published,emazzol@schools.nyc.gov,www.acebrooklyn.org,,Functionally Accessible,,Environmental Science,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,18637
Academy for Environmental Leadership,32,K403,400 IRVING AVENUE,NY,11237,,,http://schools.nyc.gov/SchoolPortals/32/K403/default.htm,,3,Brooklyn,718-381-7100,321,"09,10,11,12,SE",,0,N404,"BIBBS, MALIKA",718-329-8107,MElwin@schools.nyc.gov,100,Academy for Environmental Leadership (K403),0,1446,-8227788.4776,4967753.9284,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,3,K403,32,11237,Bushwick North,1446,K403,Academy for Environmental Leadership,Brooklyn,7811,Published,DHenry10@schools.nyc.gov,www.aelnyc.org,,Functionally Accessible,,Environmental Science,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,32403
Academy for Health Careers,17,K751,150 ALBANY AVENUE,NY,11213,,,http://schools.nyc.gov/SchoolPortals/17/K751/default.htm,,3,Brooklyn,718-773-0128,365,"09,10,11,12,SE",,0,N563,"BOYHAN, LORRAINE",212-802-1605,LBoyhan@schools.nyc.gov,100,Academy for Health Careers (K751),0,2752,-8230900.9598,4964675.608,ACADEMY FOR HEALTH CAREERS,3,K751,17,11213,Crown Heights North,2752,K751,Academy for Health Careers,Brooklyn,7897,Published,dmartin8@schools.nyc.gov,www.academyforhealthcareers.org,CTE School,Functionally Accessible,,Health Professions,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,17544
Academy for Language and Technology,09,X365,1700 MACOMBS ROAD,NY,10453,,,http://schools.nyc.gov/SchoolPortals/09/X365/default.htm,,2,Bronx,718-731-0219,308,"09,10,11,12",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Academy for Language and Technology (X365),0,2461,-8228249.9714,4990190.0065,ACADEMY FOR LANGUAGE AND TECHNOLOGY,2,X365,9,10453,University Heights - Morris Heights,2461,X365,Academy for Language and Technology,Bronx,7841,Published,,http://schools.nyc.gov/SchoolPortals/09/X365/default.htm,School for New Arrivals,Not Functionally Accessible,,Communications|Computer Science &amp; Technology,Screened: Language,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,09365
Academy for New Americans,30,Q235,30-14 30 STREET,NY,11102,,,http://schools.nyc.gov/SchoolPortals/30/Q235/default.htm,,4,Queens,718-956-4140,190,"06,07,08",,0,N208,"Purus, Daniel",917-528-7207,DPurus@schools.nyc.gov,100,Academy for New Americans (Q235),0,2074,-8229104.4804,4978015.6957,ACADEMY FOR NEW AMERICANS,4,Q235,30,11102,Old Astoria,2074,Q235,Academy for New Americans,Queens,,,,,,,,,,7336,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,30235
Academy For Personal Leadership And Excellence,10,X363,120 EAST 184 STREET,NY,10468,,,http://schools.nyc.gov/SchoolPortals/10/X363/default.htm,,2,Bronx,718-220-3139,456,"06,07,08,SE",,0.969876984839968,N109,"Quail, Maria",718-828-6990,MQuail@schools.nyc.gov,100,Academy For Personal Leadership And Excellence (X363),2666,2666,-8226579.3599,4991651.3079,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,2,X363,10,10468,Fordham South,2666,X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Bronx,,,,,,,,,,7477,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,10363
Academy for Scholarship and Entrepreneurship: A College Board School,11,X270,921 EAST 228TH STREET,NY,10466,,,http://schools.nyc.gov/SchoolPortals/11/X270/default.htm,,2,Bronx,718-696-3840,368,"09,10,11,12,SE",,0,N603,"PENDERGAST, LAWRENCE",917-225-2020,LPender@schools.nyc.gov,100,Academy for Scholarship and Entrepreneurship: A College Board School (X270),0,2399,-8221208.097,4995830.0922,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,2,X270,11,10466,Williamsbridge - Olinville,2399,X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,7727,Published,zwhite2@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/11/X270/default.htm,,Functionally Accessible,,Business,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,11270
Academy for Social Action,05,M367,509 WEST 129 STREET,NY,10027,,,http://schools.nyc.gov/SchoolPortals/05/M367/default.htm,,1,Manhattan,212-543-6301,163,"09,10,11,12,SE",,0,N603,"PENDERGAST, LAWRENCE",917-225-2020,LPender@schools.nyc.gov,100,Academy for Social Action (M367),0,1775,-8232718.9373,4985187.6692,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,1,M367,5,10027,Manhattanville,1775,M367,Academy for Social Action: A College Board School,Manhattan,7840,Published,,http://schools.nyc.gov/SchoolPortals/05/M367/default.htm,,Not Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,05367
Academy for Software Engineering,02,M546,40 IRVING PLACE,NY,10003,,,http://schools.nyc.gov/SchoolPortals/02/M546/default.htm,,1,Manhattan,212-253-3299,450,"09,10,11,12,SE",,0,N561,"JONES, DEREK",646-486-8177,DJones19@schools.nyc.gov,100,Academy for Software Engineering (M546),0,2875,-8236239.5348,4973384.0647,Academy for Software Engineering,1,M546,2,10003,Gramercy,2875,M546,Academy for Software Engineering,Manhattan,7924,Published,info@afsenyc.org,www.afsenyc.org,CTE School,Functionally Accessible,,Computer Science &amp; Technology,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,02543
Academy for Young Writers,19,K404,1065 ELTON STREET,NY,11208,,,http://schools.nyc.gov/SchoolPortals/19/K404/default.htm,,3,Brooklyn,718-688-7230,563,"06,07,08,09,10,11,12,SE",,0,N113,"Sheehan, Alison",718-935-3707,ASheehan3@schools.nyc.gov,100,Academy for Young Writers (K404),0,1447,-8223618.5621,4961909.8202,ACADEMY FOR YOUNG WRITERS,3,K404,19,11208,East New York,1447,K404,Academy for Young Writers,Brooklyn,7812,Published,cwinkfield@schools.nyc.gov,www.academyforyoungwriters.org,,Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7124,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,19404
